Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1325317920,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325317980,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318040,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318100,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318160,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318220,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318280,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318340,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318400,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318460,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318520,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318580,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318640,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318700,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318760,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318820,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318880,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325318940,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319000,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319060,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319120,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319180,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319240,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319300,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319360,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319420,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319480,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319540,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319600,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319660,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319720,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319780,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319840,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319900,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325319960,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320020,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320080,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320140,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320200,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320260,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320320,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320380,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320440,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320500,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320560,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320620,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320680,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320740,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320800,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320860,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320920,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325320980,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321040,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321100,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321160,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321220,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321280,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321340,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321400,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321460,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321520,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321580,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321640,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321700,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321760,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321820,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321880,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325321940,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322000,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322060,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322120,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322180,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322240,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322300,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322360,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322420,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322480,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322540,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322600,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322660,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322720,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322780,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322840,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322900,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325322960,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323020,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323080,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323140,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323200,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323260,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323320,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323380,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323440,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323500,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323560,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323620,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323680,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323740,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323800,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323860,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323920,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325323980,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324040,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324100,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324160,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324220,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324280,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324340,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324400,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324460,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324520,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324580,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324640,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324700,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324760,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324820,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324880,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325324940,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325000,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325060,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325120,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325180,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325240,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325300,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325360,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325420,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325480,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325540,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325600,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325660,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325720,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325780,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325840,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325900,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325325960,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325326020,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325326080,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325326140,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325326200,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325326260,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325326320,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325326380,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325326440,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
